--------------  Ecart radiaux  -----------
 Rayon   Ecart
 0.000000 0.042093
 200.000000 0.075211
 400.000000 0.138135
 600.000000 0.199916
 800.000000 0.257175
 1000.000000 0.308719
 1200.000000 0.354998
 1400.000000 0.398653
 1600.000000 0.444804
 1800.000000 0.500534
 2000.000000 0.573110
 2200.000000 0.687152
 2400.000000 0.809577
 2600.000000 0.926908
 2800.000000 1.000472
 3000.000000 0.982110
 3200.000000 0.840903
 3400.000000 0.732454
 3600.000000 0.977560
 3609.699573 1.006931
--------------  Ecart plani  -----------
Im.X Im.Y  PhG.X Phg.Y Ec
5897.640000 3943.520000 -0.282278 -0.089087 0.296002
5897.640000 3557.216000 -0.425755 -0.127221 0.444356
5897.640000 3170.912000 -0.643690 -0.165904 0.664726
5897.640000 2784.608000 -0.804068 -0.138239 0.815865
5897.640000 2398.304000 -0.907322 -0.066803 0.909778
5897.640000 2012.000000 -0.976398 0.025369 0.976727
5897.640000 1625.696000 -1.020659 0.125363 1.028329
5897.640000 1239.392000 -1.029403 0.219711 1.052589
5897.640000 853.088000 -0.976998 0.283155 1.017203
5897.640000 466.784000 -0.859333 0.288635 0.906511
5897.640000 80.480000 -0.809184 0.300160 0.863062
5319.912000 3943.520000 -0.503108 -0.334832 0.604343
5319.912000 3557.216000 -0.635092 -0.337448 0.719175
5319.912000 3170.912000 -0.679291 -0.259135 0.727040
5319.912000 2784.608000 -0.697355 -0.164362 0.716462
5319.912000 2398.304000 -0.721499 -0.072108 0.725094
5319.912000 2012.000000 -0.761646 0.020117 0.761912
5319.912000 1625.696000 -0.819743 0.120132 0.828499
5319.912000 1239.392000 -0.894927 0.236052 0.925535
5319.912000 853.088000 -0.977735 0.370877 1.045713
5319.912000 466.784000 -1.034249 0.504542 1.150753
5319.912000 80.480000 -0.996938 0.566125 1.146466
4742.184000 3943.520000 -0.434601 -0.429592 0.611087
4742.184000 3557.216000 -0.430876 -0.319069 0.536152
4742.184000 3170.912000 -0.429529 -0.220264 0.482712
4742.184000 2784.608000 -0.448576 -0.140601 0.470095
4742.184000 2398.304000 -0.482630 -0.065970 0.487118
4742.184000 2012.000000 -0.522686 0.013167 0.522852
4742.184000 1625.696000 -0.565122 0.099552 0.573823
4742.184000 1239.392000 -0.614194 0.196143 0.644753
4742.184000 853.088000 -0.680007 0.313457 0.748776
4742.184000 466.784000 -0.769136 0.467438 0.900038
4742.184000 80.480000 -0.862908 0.650889 1.080864
4164.456000 3943.520000 -0.238731 -0.395312 0.461805
4164.456000 3557.216000 -0.241842 -0.291142 0.378486
4164.456000 3170.912000 -0.269102 -0.222537 0.349197
4164.456000 2784.608000 -0.311921 -0.160649 0.350860
4164.456000 2398.304000 -0.357212 -0.085867 0.367388
4164.456000 2012.000000 -0.396435 0.003968 0.396455
4164.456000 1625.696000 -0.426782 0.101123 0.438598
4164.456000 1239.392000 -0.450876 0.197510 0.492239
4164.456000 853.088000 -0.477793 0.295111 0.561584
4164.456000 466.784000 -0.522059 0.415247 0.667065
4164.456000 80.480000 -0.593762 0.590152 0.837157
3586.728000 3943.520000 -0.079012 -0.386532 0.394525
3586.728000 3557.216000 -0.099703 -0.310080 0.325715
3586.728000 3170.912000 -0.133781 -0.260478 0.292824
3586.728000 2784.608000 -0.172365 -0.199771 0.263853
3586.728000 2398.304000 -0.208641 -0.113988 0.237748
3586.728000 2012.000000 -0.239925 -0.008192 0.240065
3586.728000 1625.696000 -0.265670 0.105331 0.285788
3586.728000 1239.392000 -0.286217 0.213424 0.357030
3586.728000 853.088000 -0.304411 0.309605 0.434190
3586.728000 466.784000 -0.327842 0.408500 0.523787
3586.728000 80.480000 -0.366628 0.552047 0.662700
3009.000000 3943.520000 0.066774 -0.410666 0.416059
3009.000000 3557.216000 0.046527 -0.342589 0.345734
3009.000000 3170.912000 0.026311 -0.294714 0.295887
3009.000000 2784.608000 0.006239 -0.229275 0.229359
3009.000000 2398.304000 -0.014125 -0.136134 0.136865
3009.000000 2012.000000 -0.035428 -0.022731 0.042093
3009.000000 1625.696000 -0.058079 0.098526 0.114370
3009.000000 1239.392000 -0.082000 0.214228 0.229385
3009.000000 853.088000 -0.106715 0.315120 0.332699
3009.000000 466.784000 -0.131820 0.411494 0.432092
3009.000000 80.480000 -0.157619 0.544892 0.567231
2431.272000 3943.520000 0.222851 -0.455697 0.507270
2431.272000 3557.216000 0.203114 -0.371800 0.423663
2431.272000 3170.912000 0.195776 -0.313259 0.369405
2431.272000 2784.608000 0.192592 -0.243887 0.310762
2431.272000 2398.304000 0.186596 -0.150897 0.239975
2431.272000 2012.000000 0.174478 -0.039238 0.178835
2431.272000 1625.696000 0.155186 0.079930 0.174561
2431.272000 1239.392000 0.129069 0.194707 0.233601
2431.272000 853.088000 0.099288 0.298940 0.314998
2431.272000 466.784000 0.073326 0.406002 0.412570
2431.272000 80.480000 0.059958 0.555450 0.558677
1853.544000 3943.520000 0.411314 -0.530893 0.671585
1853.544000 3557.216000 0.376084 -0.414362 0.559585
1853.544000 3170.912000 0.361993 -0.330361 0.490079
1853.544000 2784.608000 0.361358 -0.252141 0.440629
1853.544000 2398.304000 0.362199 -0.162053 0.396799
1853.544000 2012.000000 0.356702 -0.058301 0.361435
1853.544000 1625.696000 0.342224 0.052465 0.346223
1853.544000 1239.392000 0.320948 0.163348 0.360125
1853.544000 853.088000 0.300806 0.276057 0.408279
1853.544000 466.784000 0.294433 0.409500 0.504362
1853.544000 80.480000 0.309708 0.592736 0.668771
1275.816000 3943.520000 0.647600 -0.626042 0.900730
1275.816000 3557.216000 0.609025 -0.498463 0.787006
1275.816000 3170.912000 0.570630 -0.380585 0.685904
1275.816000 2784.608000 0.549161 -0.279342 0.616124
1275.816000 2398.304000 0.539986 -0.182143 0.569878
1275.816000 2012.000000 0.535182 -0.080557 0.541210
1275.816000 1625.696000 0.531468 0.027886 0.532199
1275.816000 1239.392000 0.532225 0.145803 0.551835
1275.816000 853.088000 0.545640 0.282241 0.614315
1275.816000 466.784000 0.576332 0.450807 0.731700
1275.816000 80.480000 0.605977 0.644237 0.884448
698.088000 3943.520000 0.781353 -0.602903 0.986916
698.088000 3557.216000 0.863581 -0.569596 1.034511
698.088000 3170.912000 0.868442 -0.464689 0.984951
698.088000 2784.608000 0.848238 -0.344184 0.915407
698.088000 2398.304000 0.831360 -0.225102 0.861296
698.088000 2012.000000 0.826513 -0.105522 0.833222
698.088000 1625.696000 0.835107 0.021104 0.835374
698.088000 1239.392000 0.855756 0.161444 0.870852
698.088000 853.088000 0.879297 0.317512 0.934868
698.088000 466.784000 0.875698 0.471361 0.994498
698.088000 80.480000 0.789966 0.563680 0.970454
120.360000 3943.520000 0.775193 -0.508922 0.927322
120.360000 3557.216000 0.799319 -0.456001 0.920243
120.360000 3170.912000 0.930948 -0.434743 1.027456
120.360000 2784.608000 1.026883 -0.364365 1.089611
120.360000 2398.304000 1.076133 -0.257677 1.106553
120.360000 2012.000000 1.094772 -0.133170 1.102841
120.360000 1625.696000 1.089974 -0.001888 1.089976
120.360000 1239.392000 1.053561 0.124844 1.060932
120.360000 853.088000 0.968588 0.227683 0.994989
120.360000 466.784000 0.847122 0.293315 0.896465
120.360000 80.480000 0.840257 0.406941 0.933613
