--------------  Ecart radiaux  -----------
 Rayon   Ecart
 0.000000 0.090576
 200.000000 0.094265
 400.000000 0.106922
 600.000000 0.133476
 800.000000 0.166214
 1000.000000 0.199663
 1200.000000 0.232654
 1400.000000 0.265843
 1600.000000 0.301789
 1800.000000 0.344797
 2000.000000 0.399930
 2200.000000 0.481990
 2400.000000 0.574552
 2600.000000 0.669122
 2800.000000 0.742799
 3000.000000 0.770545
 3200.000000 0.749414
 3400.000000 0.821800
 3600.000000 1.269917
 3609.699573 1.308362
--------------  Ecart plani  -----------
Im.X Im.Y  PhG.X Phg.Y Ec
698.088000 2398.304000 0.598864 -0.225399 0.639877
698.088000 2012.000000 0.612930 -0.127667 0.626085
698.088000 1625.696000 0.638943 -0.018531 0.639212
698.088000 1239.392000 0.679287 0.109169 0.688003
698.088000 853.088000 0.730312 0.261696 0.775784
698.088000 466.784000 0.769605 0.430062 0.881615
698.088000 80.480000 0.747903 0.564851 0.937238
120.360000 3943.520000 1.083483 -0.851137 1.377813
120.360000 3557.216000 0.837777 -0.578147 1.017902
120.360000 3170.912000 0.811686 -0.464801 0.935348
120.360000 2784.608000 0.841309 -0.374194 0.920772
120.360000 2398.304000 0.877645 -0.274492 0.919568
120.360000 2012.000000 0.911795 -0.161763 0.926033
120.360000 1625.696000 0.941045 -0.036915 0.941768
120.360000 1239.392000 0.956825 0.095472 0.961576
120.360000 853.088000 0.944749 0.222623 0.970624
120.360000 466.784000 0.912590 0.333085 0.971476
120.360000 80.480000 0.985659 0.493754 1.102414
