--------------  Ecart radiaux  -----------
 Rayon   Ecart
 0.000000 0.042625
 200.000000 0.050268
 400.000000 0.074039
 600.000000 0.102771
 800.000000 0.131133
 1000.000000 0.159146
 1200.000000 0.187527
 1400.000000 0.216466
 1600.000000 0.244711
 1800.000000 0.269226
 2000.000000 0.285908
 2200.000000 0.281645
 2400.000000 0.273107
 2600.000000 0.269728
 2800.000000 0.298652
 3000.000000 0.395567
 3200.000000 0.580614
 3400.000000 0.745188
 3600.000000 0.680614
 3609.699573 0.679263
--------------  Ecart plani  -----------
Im.X Im.Y  PhG.X Phg.Y Ec
5897.640000 3943.520000 0.446178 0.421174 0.613565
5897.640000 3557.216000 0.541372 0.403494 0.675197
5897.640000 3170.912000 0.495228 0.289862 0.573821
5897.640000 2784.608000 0.441360 0.182848 0.477737
5897.640000 2398.304000 0.408009 0.093924 0.418680
5897.640000 2012.000000 0.393283 0.016000 0.393609
5897.640000 1625.696000 0.397382 -0.058846 0.401716
5897.640000 1239.392000 0.435514 -0.143597 0.458576
5897.640000 853.088000 0.542858 -0.268918 0.605815
5897.640000 466.784000 0.753048 -0.486447 0.896500
5897.640000 80.480000 0.997005 -0.800776 1.278774
5319.912000 3943.520000 0.314813 0.417773 0.523108
5319.912000 3557.216000 0.278483 0.300593 0.409767
5319.912000 3170.912000 0.272412 0.215222 0.347172
5319.912000 2784.608000 0.282274 0.143338 0.316582
5319.912000 2398.304000 0.293629 0.072815 0.302523
5319.912000 2012.000000 0.298213 0.000928 0.298215
5319.912000 1625.696000 0.290725 -0.069341 0.298880
5319.912000 1239.392000 0.267841 -0.131370 0.298324
5319.912000 853.088000 0.234664 -0.180092 0.295805
5319.912000 466.784000 0.223592 -0.232783 0.322772
5319.912000 80.480000 0.316341 -0.373107 0.489163
4742.184000 3943.520000 0.171974 0.344658 0.385180
4742.184000 3557.216000 0.184712 0.274219 0.330628
4742.184000 3170.912000 0.203953 0.213053 0.294938
4742.184000 2784.608000 0.221456 0.148677 0.266735
4742.184000 2398.304000 0.234720 0.078274 0.247428
4742.184000 2012.000000 0.243526 0.002761 0.243542
4742.184000 1625.696000 0.247891 -0.076094 0.259307
4742.184000 1239.392000 0.244747 -0.154886 0.289639
4742.184000 853.088000 0.225255 -0.223002 0.316970
4742.184000 466.784000 0.180551 -0.260901 0.317282
4742.184000 80.480000 0.125890 -0.268006 0.296101
4164.456000 3943.520000 0.086706 0.321952 0.333423
4164.456000 3557.216000 0.101897 0.267074 0.285852
4164.456000 3170.912000 0.116772 0.211739 0.241804
4164.456000 2784.608000 0.129494 0.149404 0.197713
4164.456000 2398.304000 0.137634 0.079370 0.158879
4164.456000 2012.000000 0.140482 0.005823 0.140603
4164.456000 1625.696000 0.141107 -0.067974 0.156625
4164.456000 1239.392000 0.143433 -0.144776 0.203797
4164.456000 853.088000 0.145154 -0.226597 0.269103
4164.456000 466.784000 0.133545 -0.296834 0.325491
4164.456000 80.480000 0.094536 -0.317360 0.331141
3586.728000 3943.520000 0.005584 0.302409 0.302461
3586.728000 3557.216000 0.017641 0.255992 0.256599
3586.728000 3170.912000 0.030395 0.207777 0.209989
3586.728000 2784.608000 0.042016 0.148030 0.153877
3586.728000 2398.304000 0.048716 0.075723 0.090040
3586.728000 2012.000000 0.048547 0.000829 0.048554
3586.728000 1625.696000 0.043979 -0.066796 0.079974
3586.728000 1239.392000 0.040406 -0.130713 0.136816
3586.728000 853.088000 0.040780 -0.204974 0.208992
3586.728000 466.784000 0.040037 -0.288172 0.290940
3586.728000 80.480000 0.026242 -0.339072 0.340086
3009.000000 3943.520000 -0.067561 0.279847 0.287887
3009.000000 3557.216000 -0.059663 0.240510 0.247800
3009.000000 3170.912000 -0.053251 0.199325 0.206315
3009.000000 2784.608000 -0.048093 0.143552 0.151394
3009.000000 2398.304000 -0.044407 0.071811 0.084433
3009.000000 2012.000000 -0.042535 -0.002773 0.042625
3009.000000 1625.696000 -0.042641 -0.066373 0.078890
3009.000000 1239.392000 -0.044601 -0.121420 0.129352
3009.000000 853.088000 -0.048087 -0.186139 0.192251
3009.000000 466.784000 -0.052841 -0.266734 0.271918
3009.000000 80.480000 -0.059002 -0.325164 0.330474
2431.272000 3943.520000 -0.129551 0.254339 0.285433
2431.272000 3557.216000 -0.125418 0.217117 0.250738
2431.272000 3170.912000 -0.125815 0.179580 0.219268
2431.272000 2784.608000 -0.128063 0.130534 0.182864
2431.272000 2398.304000 -0.128267 0.068059 0.145205
2431.272000 2012.000000 -0.124730 0.002199 0.124750
2431.272000 1625.696000 -0.120087 -0.056454 0.132695
2431.272000 1239.392000 -0.119607 -0.110674 0.162955
2431.272000 853.088000 -0.125981 -0.174309 0.215069
2431.272000 466.784000 -0.134162 -0.246689 0.280811
2431.272000 80.480000 -0.132918 -0.287994 0.317187
1853.544000 3943.520000 -0.179348 0.228629 0.290581
1853.544000 3557.216000 -0.175669 0.190035 0.258791
1853.544000 3170.912000 -0.177344 0.154072 0.234923
1853.544000 2784.608000 -0.181311 0.112336 0.213291
1853.544000 2398.304000 -0.184006 0.062514 0.194335
1853.544000 2012.000000 -0.184013 0.008444 0.184207
1853.544000 1625.696000 -0.184151 -0.045935 0.189793
1853.544000 1239.392000 -0.188527 -0.102619 0.214647
1853.544000 853.088000 -0.195461 -0.163763 0.254997
1853.544000 466.784000 -0.193291 -0.214187 0.288509
1853.544000 80.480000 -0.169206 -0.217732 0.275750
1275.816000 3943.520000 -0.219432 0.211375 0.304680
1275.816000 3557.216000 -0.208889 0.164112 0.265645
1275.816000 3170.912000 -0.210160 0.128583 0.246375
1275.816000 2784.608000 -0.215616 0.092628 0.234670
1275.816000 2398.304000 -0.221726 0.052006 0.227743
1275.816000 2012.000000 -0.227142 0.006610 0.227238
1275.816000 1625.696000 -0.231376 -0.042098 0.235174
1275.816000 1239.392000 -0.231721 -0.090950 0.248931
1275.816000 853.088000 -0.220398 -0.130221 0.255994
1275.816000 466.784000 -0.189685 -0.141835 0.236849
1275.816000 80.480000 -0.154767 -0.125561 0.199295
698.088000 3943.520000 -0.290665 0.234453 0.373436
698.088000 3557.216000 -0.243130 0.160684 0.291431
698.088000 3170.912000 -0.219233 0.110490 0.245501
698.088000 2784.608000 -0.213385 0.073765 0.225776
698.088000 2398.304000 -0.214182 0.040111 0.217906
698.088000 2012.000000 -0.213927 0.006243 0.214018
698.088000 1625.696000 -0.207303 -0.025895 0.208914
698.088000 1239.392000 -0.191028 -0.050744 0.197653
698.088000 853.088000 -0.169884 -0.063988 0.181535
698.088000 466.784000 -0.173937 -0.081875 0.192244
698.088000 80.480000 -0.277290 -0.181291 0.331294
120.360000 3943.520000 -0.209359 0.113358 0.238078
120.360000 3557.216000 -0.357981 0.194329 0.407325
120.360000 3170.912000 -0.335193 0.149648 0.367081
120.360000 2784.608000 -0.286516 0.096101 0.302204
120.360000 2398.304000 -0.251403 0.054762 0.257298
120.360000 2012.000000 -0.234349 0.022796 0.235455
120.360000 1625.696000 -0.237672 -0.006183 0.237752
120.360000 1239.392000 -0.275105 -0.043816 0.278572
120.360000 853.088000 -0.376116 -0.117101 0.393924
120.360000 466.784000 -0.563275 -0.268688 0.624077
120.360000 80.480000 -0.753817 -0.488173 0.898083
